ID,ecozone,gender,reproduction,embryo
Procambarus_viaeviridis,T,D,O,F
Procambarus_virginalis,T,D,A,F
Panulirus_versicolor,M,D,O,M
Jasus_lalandii,M,D,O,M
Pleuroncodes_monodon,M,D,O,M
Cervimunida_johni,M,D,O,M
Paralithodes_camtschaticus,M,D,O,M
Pagurus_bernhardus,M,D,O,M
Birgus_latro,T,D,O,T
Cancer_pagurus,M,D,O,M
Macrocheira_kaempferi,M,D,O,M
Hyas_coarctatus,M,D,O,M
Chionoecetes_opilio,M,D,O,M
Carcinus_maenas,M,D,O,M
Charybdis_bimaculata,M,D,O,M
Portunus_trituberculatus,M,D,O,M
Eriphia_verrucosa,M,D,O,M
Dissodactylus_primitivus,M,D,O,M
Neohelice_granulata,M,D,O,M
Cyprideis_torosa,T,D,A,F
Argulus_coregoni,T,D,O,F
Isotoma_viridis,T,D,O,T
Folsomia_candida,T,D,A,T
Tomocerus_minor,T,D,O,T
Entomobrya_nivalis,T,D,O,T
Orchesella_cincta,T,D,O,T
Lepidocyrtus_cyaneus,T,D,O,T
Lepisma_saccharina,T,D,O,T
Ecdyonurus_dispar,T,D,O,F
Rhithrogena_semicolorata,T,D,O,F
Epeorus_assimilis,T,D,O,F
Oligoneuriella_rhenana,T,D,O,F
Baetis_rhodani,T,D,O,F
Cloeon_dipterum,T,D,O,F
Habrophlebia_lauta,T,D,O,F
Locusta_migratoria,T,D,O,T
Chortoicetes_terminifera,T,D,O,T
Extatosoma_tiaratum,T,D,O,T
Bemisia_tabaci,T,D,O,T
Orius_albidipennis,T,D,O,T
Orius_laevigatus,T,D,O,T
Acyrthosiphon_pisum,T,D,A,T
Myzus_persicae,T,D,A,T
Diaphorina_citri,T,D,O,T
Notonecta_maculata,T,D,O,F
Euschistus_heros,T,D,O,T
Nezara_viridula,T,D,O,T
Aedes_aegypti,T,D,O,F
Culex_pipiens,T,D,O,F
Chironomus_riparius,T,D,O,F
Chaoborus_americanus,T,D,O,F
Chaoborus_crystallinus,T,D,O,F
Sericostoma_personatum,T,D,O,F
Plodia_interpunctella,T,D,O,T
Bombyx_mori,T,D,O,T
Manduca_sexta,T,D,O,T
Heteronympha_merope,T,D,O,T
Spodoptera_frugiperda,T,D,O,T
Helicoverpa_armigera,T,D,O,T
Linepithema_humile,T,D,O,T
Venturia_canescens,T,D,O,T
Onthophagus_taurus,T,D,O,T
Onthophagus_binodis,T,D,O,T
Ophiura_ophiura,M,D,O,M
Ophiura_albida,M,D,O,M
Amphiura_filiformis,M,D,O,M
Asterias_rubens,M,D,O,M
Pisaster_ochraceus,M,D,O,M
Astropecten_aranciacus,M,D,O,M
Astropecten_irregularis,M,D,O,M
Luidia_sarsii,M,D,O,M
Archaster_typicus,M,D,O,M
Acanthaster_planci,M,D,O,M
Protoreaster_nodosus,M,D,O,M
Crossaster_papposus,M,D,O,M
Asterina_gibbosa,M,D,O,M
Odontaster_validus,M,D,O,M
Echinus_esculentus,M,D,O,M
Gracilechinus_affinis,M,D,O,M
Sterechinus_neumayeri,M,D,O,M
Mesocentrotus_franciscanus,M,D,O,M
Strongylocentrotus_droebachiensis,M,D,O,M
Strongylocentrotus_pallidus,M,D,O,M
Strongylocentrotus_purpuratus,M,D,O,M
Lytechinus_variegatus,M,D,O,M
Paracentrotus_lividus,M,D,O,M
Psammechinus_miliaris,M,D,O,M
Loxechinus_albus,M,D,O,M
Echinocardium_cordatum,M,D,O,M
Abatus_cordatus,M,D,O,M
Clypeaster_subdepressus,M,D,O,M
Holothuria_scabra,M,D,O,M
Stichopus_vastus,M,D,O,M
Aspostichopus_japonicus,M,D,O,M
Branchiostoma_floridae,M,D,O,M
Fritillaria_pellucida,M,H,O,M
Oikopleura_dioica,M,D,O,M
Oikopleura_longicauda,M,H,O,M
Dolioletta_gegenbauri,M,H,A,M
Pyrosoma_atlanticum,M,H,A,M
Cyclosalpa_bakeri,M,H,A,M
Ihlea_punctata,M,H,A,M
Pegea_confoederata,M,H,A,M
Salpa_thompsoni,M,H,A,M
Thalia_democratica,M,H,A,M
Diplosoma_listerianum,M,H,O,M
Polyclinum_aurantium,M,H,O,M
Ascidiella_aspersa,M,H,O,M
Ciona_intestinalis,M,H,O,M
Molgula_complanata,M,H,O,M
Boltenia_echinata,M,H,O,M
Botrylloides_violaceus,M,H,O,M
Dendrodoa_grossularia,M,H,O,M
Styela_plicata,M,H,O,M
Myxine_glutinosa,M,D,O,M
Eptatretus_stoutii,M,D,O,M
Geotria_australis,M,D,O,F
Mordacia_mordax,M,D,O,F
